,성별,확진자 수,사망자 수,날짜,날짜_dt
445,여성,12403427,13740.0,2022-09-01,2022-09-01
446,남성,10924470,13136.0,2022-09-01,2022-09-01
447,여성,12359202,13688.0,2022-08-31,2022-08-31
448,남성,10887196,13076.0,2022-08-31,2022-08-31
449,여성,12303215,13651.0,2022-08-30,2022-08-30
450,남성,10839264,13038.0,2022-08-30,2022-08-30
451,여성,12240992,13615.0,2022-08-29,2022-08-29
452,남성,10785968,13003.0,2022-08-29,2022-08-29
453,여성,12218365,13592.0,2022-08-28,2022-08-28
454,남성,10765453,12977.0,2022-08-28,2022-08-28
455,여성,12172284,13554.0,2022-08-27,2022-08-27
456,남성,10726239,12945.0,2022-08-27,2022-08-27
457,여성,12121065,13515.0,2022-08-26,2022-08-26
458,남성,10681920,12898.0,2022-08-26,2022-08-26
459,여성,12066443,13480.0,2022-08-25,2022-08-25
460,남성,10635478,12852.0,2022-08-25,2022-08-25
461,여성,12005391,13425.0,2022-08-24,2022-08-24
462,남성,10583249,12799.0,2022-08-24,2022-08-24
463,여성,11930664,13399.0,2022-08-23,2022-08-23
464,남성,10518811,12762.0,2022-08-23,2022-08-23
465,여성,11849485,13372.0,2022-08-22,2022-08-22
466,남성,10449892,12737.0,2022-08-22,2022-08-22
467,여성,11818407,13340.0,2022-08-21,2022-08-21
468,남성,10421924,12704.0,2022-08-21,2022-08-21
469,여성,11758562,13305.0,2022-08-20,2022-08-20
470,남성,10370825,12675.0,2022-08-20,2022-08-20
471,여성,11688364,13262.0,2022-08-19,2022-08-19
472,남성,10311673,12634.0,2022-08-19,2022-08-19
473,여성,11613283,13216.0,2022-08-18,2022-08-18
474,남성,10248013,12597.0,2022-08-18,2022-08-18
475,여성,11516309,13186.0,2022-08-17,2022-08-17
476,남성,10166507,12566.0,2022-08-17,2022-08-17
477,여성,11418106,13170.0,2022-08-16,2022-08-16
478,남성,10084058,12540.0,2022-08-16,2022-08-16
479,여성,11373667,13156.0,2022-08-15,2022-08-15
480,남성,10044369,12517.0,2022-08-15,2022-08-15
481,여성,11340968,13135.0,2022-08-14,2022-08-14
482,남성,10014990,12488.0,2022-08-14,2022-08-14
483,여성,11276185,13105.0,2022-08-13,2022-08-13
484,남성,9960170,12461.0,2022-08-13,2022-08-13
485,여성,11208758,13076.0,2022-08-12,2022-08-12
486,남성,9903082,12423.0,2022-08-12,2022-08-12
487,여성,11139116,13042.0,2022-08-11,2022-08-11
488,남성,9844053,12399.0,2022-08-11,2022-08-11
489,여성,11064381,13018.0,2022-08-10,2022-08-10
490,남성,9781592,12364.0,2022-08-10,2022-08-10
491,여성,10982571,12993.0,2022-08-09,2022-08-09
492,남성,9711668,12339.0,2022-08-09,2022-08-09
